ParticipantID,Condition,Nametag,Intro,Pronoun_Pair,T_Pronoun,C_Pronoun,T_ID,TrialID,Transcription,He,His,She,Her,They,Their,Disfluency,MultiplePronouns,PronounProduced,Accuracy
3_039,both,1,1,HS_HS,he,she,13,both_list5_critical04_he,(inaudible) -- to his brother,0,1,0,0,0,0,0,0,his,1
3_039,both,1,1,HS_HS,he,she,13,both_list5_critical05_he,Casey gave a slice of bread to his sister.,0,1,0,0,0,0,0,0,his,1
3_039,both,1,1,HS_T,he,they,13,both_list5_critical06_he,Casey gave some corn to his brother.,0,1,0,0,0,0,0,0,his,1
3_039,both,1,1,HS_T,he,they,13,both_list5_critical07_he,Casey gave a kiwi to his brother.,0,1,0,0,0,0,0,0,his,1
3_039,both,1,1,HS_T,he,they,13,both_list5_critical08_he,Casey gave grapes to his sister.,0,1,0,0,0,0,0,0,his,1
3_039,both,1,1,HS_T,he,they,13,both_list5_critical09_he,Casey gave a pear to his sister.,0,1,0,0,0,0,0,0,his,1
3_039,both,1,1,HS_T,he,they,13,both_list5_critical10_he,Casey gave orange juice to his brother.,0,1,0,0,0,0,0,0,his,1
3_039,both,1,1,HS_HS,she,he,14,both_list5_critical11_she,Jaime gave a spoon to her sister.,0,0,0,1,0,0,0,0,her,1
3_039,both,1,1,HS_HS,she,he,14,both_list5_critical12_she,Jaime gave broccoli to her brother.,0,0,0,1,0,0,0,0,her,1
3_039,both,1,1,HS_HS,she,he,14,both_list5_critical13_she,Jaime gave an egg to her brother.,0,0,0,1,0,0,0,0,her,1
3_039,both,1,1,HS_HS,she,he,14,both_list5_critical14_she,Jaime gave the strawberry to her sister.,0,0,0,1,0,0,0,0,her,1
3_039,both,1,1,HS_HS,she,he,14,both_list5_critical15_she,Jaime gave a pineapple to their brother.,0,0,0,0,0,1,0,0,their,0
3_039,both,1,1,HS_T,she,they,14,both_list5_critical16_she,Jaime gave a banana to her sister.,0,0,0,1,0,0,0,0,her,1
3_039,both,1,1,HS_T,she,they,14,both_list5_critical17_she,Jaime gave some bacon to her sister.,0,0,0,1,0,0,0,0,her,1
3_039,both,1,1,HS_T,she,they,14,both_list5_critical18_she,Jaime gave some icecream to her sis- to her brother.,0,0,0,1,0,0,1,0,her,1
3_039,both,1,1,HS_T,she,they,14,both_list5_critical19_she,Jaime gave a carrot to her sister.,0,0,0,1,0,0,0,0,her,1
3_039,both,1,1,HS_T,she,they,14,both_list5_critical20_she,Jaime gave the lemon to her brother.,0,0,0,1,0,0,0,0,her,1
3_039,both,1,1,T_HS,they,she,15,both_list5_critical21_they,Alex gave the pizza to their brother.,0,0,0,0,0,1,0,0,their,1
3_039,both,1,1,T_HS,they,she,15,both_list5_critical22_they,Alex gave the bowl -- frisbee to his to their sister.,0,1,0,0,0,1,1,1,their,1
3_039,both,1,1,T_HS,they,she,15,both_list5_critical23_they,Alex gave an apple uh Alex gave an orange to their sister.,0,0,0,0,0,1,1,0,their,1
3_039,both,1,1,T_HS,they,she,15,both_list5_critical24_they,Alex gave the potato to their brother.,0,0,0,0,0,1,0,0,their,1
3_039,both,1,1,T_HS,they,she,15,both_list5_critical25_they,Alex gave the apple to their sister.,0,0,0,0,0,1,0,0,their,1
3_039,both,1,1,T_HS,they,he,15,both_list5_critical26_they,Alex gave the onion to their brother.,0,0,0,0,0,1,0,0,their,1
3_039,both,1,1,T_HS,they,he,15,both_list5_critical27_they,Alex gave the watermelon to their brother.,0,0,0,0,0,1,0,0,their,1
3_039,both,1,1,T_HS,they,he,15,both_list5_critical29_they,Alex gave the cookie to their brother.,0,0,0,0,0,1,0,0,their,1
3_039,both,1,1,T_HS,they,he,15,both_list5_critical30_they,Alex gave a tomato to their bro- to their sister.,0,0,0,0,0,1,1,0,their,1
3_040,both,1,1,HS_HS,he,she,1,both_list1_critical01_he,Alex gave the chocolate bar to his brother.,0,1,0,0,0,0,0,0,his,1
3_040,both,1,1,HS_HS,he,she,1,both_list1_critical02_he,Alex gave the cherries to his sister.,0,1,0,0,0,0,0,0,his,1
3_040,both,1,1,HS_HS,he,she,1,both_list1_critical03_he,Alex gave the avocado to his sister.,0,1,0,0,0,0,0,0,his,1
3_040,both,1,1,HS_HS,he,she,1,both_list1_critical04_he,Alex gave the pumpkin to his brother.,0,1,0,0,0,0,0,0,his,1
3_040,both,1,1,HS_HS,he,she,1,both_list1_critical05_he,Alex gave the bread to his sister.,0,1,0,0,0,0,0,0,his,1
3_040,both,1,1,HS_T,he,they,1,both_list1_critical06_he,Alex gave the corn to his brother.,0,1,0,0,0,0,0,0,his,1
3_040,both,1,1,HS_T,he,they,1,both_list1_critical07_he,Alex gave the kiwi to his brother.,0,1,0,0,0,0,0,0,his,1
3_040,both,1,1,HS_T,he,they,1,both_list1_critical08_he,Alex gave the grapes to his sister.,0,1,0,0,0,0,0,0,his,1
3_040,both,1,1,HS_T,he,they,1,both_list1_critical09_he,Alex gave the pear to his sister.,0,1,0,0,0,0,0,0,his,1
3_040,both,1,1,HS_T,he,they,1,both_list1_critical10_he,Alex gave the orange juice to his brother.,0,1,0,0,0,0,0,0,his,1
3_040,both,1,1,HS_HS,she,he,2,both_list1_critical11_she,Sam gave the spoon to her sister.,0,0,0,1,0,0,0,0,her,1
3_040,both,1,1,HS_HS,she,he,2,both_list1_critical12_she,Sam gave the broccoli to her brother.,0,0,0,1,0,0,0,0,her,1
3_040,both,1,1,HS_HS,she,he,2,both_list1_critical13_she,Sam gave the egg to her brother.,0,0,0,1,0,0,0,0,her,1
3_040,both,1,1,HS_HS,she,he,2,both_list1_critical14_she,Sam gave the strawberry to her sister.,0,0,0,1,0,0,0,0,her,1
3_040,both,1,1,HS_HS,she,he,2,both_list1_critical15_she,Sam gave the pineapple to her brother.,0,0,0,1,0,0,0,0,her,1
3_040,both,1,1,HS_T,she,they,2,both_list1_critical16_she,Sam gave the banana to her sister.,0,0,0,1,0,0,0,0,her,1
3_040,both,1,1,HS_T,she,they,2,both_list1_critical17_she,Sam gave the bacon to her sister.,0,0,0,1,0,0,0,0,her,1
3_040,both,1,1,HS_T,she,they,2,both_list1_critical18_she,Sam gave the icecream cone to her brother.,0,0,0,1,0,0,0,0,her,1
3_040,both,1,1,HS_T,she,they,2,both_list1_critical19_she,Sam gave the carrot to her sister.,0,0,0,1,0,0,0,0,her,1
3_040,both,1,1,HS_T,she,they,2,both_list1_critical20_she,Sam gave the lemon to her brother.,0,0,0,1,0,0,0,0,her,1
3_040,both,1,1,T_HS,they,she,3,both_list1_critical21_they,Taylor gave the pizza to their brother.,0,0,0,0,0,1,0,0,their,1
3_040,both,1,1,T_HS,they,she,3,both_list1_critical22_they,Taylor gave the plate to their sister.,0,0,0,0,0,1,0,0,their,1
3_040,both,1,1,T_HS,they,she,3,both_list1_critical23_they,Taylor gave the orange to their sister.,0,0,0,0,0,1,0,0,their,1
3_040,both,1,1,T_HS,they,she,3,both_list1_critical24_they,Taylor gave the potato to their brother.,0,0,0,0,0,1,0,0,their,1
3_040,both,1,1,T_HS,they,she,3,both_list1_critical25_they,Taylor gave the apple to their sister.,0,0,0,0,0,1,0,0,their,1
3_040,both,1,1,T_HS,they,he,3,both_list1_critical26_they,Taylor gave the onion to their brother.,0,0,0,0,0,1,0,0,their,1
3_040,both,1,1,T_HS,they,he,3,both_list1_critical27_they,...the watermelon to their brother.,0,0,0,0,0,1,0,0,their,1
3_040,both,1,1,T_HS,they,he,3,both_list1_critical28_they,Taylor gave the butterknife to their sister.,0,0,0,0,0,1,0,0,their,1
3_040,both,1,1,T_HS,they,he,3,both_list1_critical29_they,Taylor gave the cookie to their brother.,0,0,0,0,0,1,0,0,their,1
3_040,both,1,1,T_HS,they,he,3,both_list1_critical30_they,Taylor gave the tomato to their sister.,0,0,0,0,0,1,0,0,their,1
3_041,nametag,1,0,HS_HS,he,she,10,nametag_list4_critical01_he,Taylor gave his brother chocolate.,0,1,0,0,0,0,0,0,his,1
3_041,nametag,1,0,HS_HS,he,she,10,nametag_list4_critical02_he,Taylor gave cherries to his sister.,0,1,0,0,0,0,0,0,his,1
