SubjID,SubjAge,SubjGender,SubjEnglish,List,Task,Name,Pronoun,Pet,Job,M_Type,M_Response,M_Acc,P_Response,P_Pronoun,P_Acc,I_Response
1B_002,18,female,"native (learned from birth)",3,memory,Jessica,she/her,fish,teacher,job,janitor,0,,,,
1B_002,18,female,"native (learned from birth)",3,memory,Jessica,she/her,fish,teacher,pet,fish,1,,,,
1B_002,18,female,"native (learned from birth)",3,memory,Jessica,she/her,fish,teacher,pronoun,she/her,1,,,,
1B_002,18,female,"native (learned from birth)",3,production,Jessica,she/her,fish,teacher,,,,she fed her fish,she/her,1,
1B_003,21,female,"native (learned from birth)",2,memory,Brian,he/him,cat,uber,job,Uber driver,0,,,,
1B_003,21,female,"native (learned from birth)",2,memory,Brian,he/him,cat,uber,pet,cat,1,,,,
1B_003,21,female,"native (learned from birth)",2,memory,Brian,he/him,cat,uber,pronoun,he/him,1,,,,
1B_003,21,female,"native (learned from birth)",2,production,Brian,he/him,cat,uber,,,,he pet his cat.,he/him,1,
1B_003,21,female,"native (learned from birth)",2,memory,Kevin,he/him,dog,food service,job,mechanic,0,,,,
1B_003,21,female,"native (learned from birth)",2,memory,Kevin,he/him,dog,food service,pet,dog,1,,,,
1B_003,21,female,"native (learned from birth)",2,memory,Kevin,he/him,dog,food service,pronoun,he/him,1,,,,
1B_003,21,female,"native (learned from birth)",2,production,Kevin,he/him,dog,food service,,,,he pet his dog.,he/him,1,
1B_003,21,female,"native (learned from birth)",2,memory,Daniel,they/them,fish,retail,job,janitor,0,,,,
1B_003,21,female,"native (learned from birth)",2,memory,Daniel,they/them,fish,retail,pet,fish,1,,,,
1B_003,21,female,"native (learned from birth)",2,memory,Daniel,they/them,fish,retail,pronoun,they/them,1,,,,
1B_003,21,female,"native (learned from birth)",2,production,Daniel,they/them,fish,retail,,,,they pet their cat.,they/them,1,
1B_003,21,female,"native (learned from birth)",2,memory,Laura,they/them,dog,accountant,job,accountant,1,,,,
1B_003,21,female,"native (learned from birth)",2,memory,Laura,they/them,dog,accountant,pet,cat,0,,,,
1B_003,21,female,"native (learned from birth)",2,memory,Laura,they/them,dog,accountant,pronoun,they/them,1,,,,
1B_003,21,female,"native (learned from birth)",2,production,Laura,they/them,dog,accountant,,,,they fed their fish.,they/them,1,
1B_003,21,female,"native (learned from birth)",2,memory,Melissa,she/her,cat,doctor,job,sales,0,,,,
1B_003,21,female,"native (learned from birth)",2,memory,Melissa,she/her,cat,doctor,pet,cat,1,,,,
1B_003,21,female,"native (learned from birth)",2,memory,Melissa,she/her,cat,doctor,pronoun,she/her,1,,,,
1B_003,21,female,"native (learned from birth)",2,production,Melissa,she/her,cat,doctor,,,,she pet her cat.,she/her,1,
1B_003,21,female,"native (learned from birth)",2,memory,Stephanie,she/her,dog,sales,job,retail,0,,,,
1B_003,21,female,"native (learned from birth)",2,memory,Stephanie,she/her,dog,sales,pet,cat,0,,,,
1B_003,21,female,"native (learned from birth)",2,memory,Stephanie,she/her,dog,sales,pronoun,she/her,1,,,,
1B_003,21,female,"native (learned from birth)",2,production,Stephanie,she/her,dog,sales,,,,she pet her cat.,she/her,1,
1B_003,21,female,"native (learned from birth)",2,memory,Andrew,he/him,fish,engineer,job,IT,0,,,,
1B_003,21,female,"native (learned from birth)",2,memory,Andrew,he/him,fish,engineer,pet,dog,0,,,,
1B_003,21,female,"native (learned from birth)",2,memory,Andrew,he/him,fish,engineer,pronoun,he/him,1,,,,
1B_003,21,female,"native (learned from birth)",2,production,Andrew,he/him,fish,engineer,,,,he pet his dog.,he/him,1,
1B_003,21,female,"native (learned from birth)",2,memory,Emily,she/her,fish,nurse,job,teacher,0,,,,
1B_003,21,female,"native (learned from birth)",2,memory,Emily,she/her,fish,nurse,pet,cat,0,,,,
1B_003,21,female,"native (learned from birth)",2,memory,Emily,she/her,fish,nurse,pronoun,she/her,1,,,,
1B_003,21,female,"native (learned from birth)",2,production,Emily,she/her,fish,nurse,,,,she fed her fish.,she/her,1,
1B_003,21,female,"native (learned from birth)",2,introduction,Emily,she/her,fish,nurse,,,,,,,This is Emily and she uses she/her/hers pronouns.
1B_003,21,female,"native (learned from birth)",2,memory,Amanda,she/her,dog,IT,job,janitor,0,,,,
1B_003,21,female,"native (learned from birth)",2,memory,Amanda,she/her,dog,IT,pet,dog,1,,,,
1B_003,21,female,"native (learned from birth)",2,memory,Amanda,she/her,dog,IT,pronoun,she/her,1,,,,
1B_003,21,female,"native (learned from birth)",2,production,Amanda,she/her,dog,IT,,,,she pet her dog.,she/her,1,
1B_003,21,female,"native (learned from birth)",2,memory,Michael,he/him,fish,mechanic,job,engineer,0,,,,
1B_003,21,female,"native (learned from birth)",2,memory,Michael,he/him,fish,mechanic,pet,dog,0,,,,
1B_003,21,female,"native (learned from birth)",2,memory,Michael,he/him,fish,mechanic,pronoun,he/him,1,,,,
1B_003,21,female,"native (learned from birth)",2,production,Michael,he/him,fish,mechanic,,,,he pet his dog.,he/him,1,
1B_003,21,female,"native (learned from birth)",2,introduction,Michael,he/him,fish,mechanic,,,,,,,This is Michael and he uses he/him/his pronouns.
1B_003,21,female,"native (learned from birth)",2,memory,James,they/them,cat,janitor,job,food service,0,,,,
1B_003,21,female,"native (learned from birth)",2,memory,James,they/them,cat,janitor,pet,fish,0,,,,
1B_003,21,female,"native (learned from birth)",2,memory,James,they/them,cat,janitor,pronoun,they/them,1,,,,
1B_003,21,female,"native (learned from birth)",2,production,James,they/them,cat,janitor,,,,they pet their dog.,they/them,1,
1B_003,21,female,"native (learned from birth)",2,memory,Jessica,they/them,cat,teacher,job,IT,0,,,,
1B_003,21,female,"native (learned from birth)",2,memory,Jessica,they/them,cat,teacher,pet,cat,1,,,,
1B_003,21,female,"native (learned from birth)",2,memory,Jessica,they/them,cat,teacher,pronoun,she/her,0,,,,
1B_003,21,female,"native (learned from birth)",2,production,Jessica,they/them,cat,teacher,,,,they fed their fish.,they/them,1,
1B_003,21,female,"native (learned from birth)",2,introduction,Jessica,they/them,cat,teacher,,,,,,,This is Jessica and she uses she/her/hers pronouns.
