SubjID,SubjAge,SubjGender,SubjEnglish,List,Task,Name,Pronoun,Pet,Job,M_Type,M_Response,M_Acc,P_Response,P_Pronoun,P_Acc,I_Response
1A_003,19,female,native (learned from birth),1,introduction,Andrew,he/him,dog,teacher,,,,,,,This is Andrew. He teaches at ____ school.
1A_003,19,female,native (learned from birth),1,memory,Emily,she/her,dog,uber,job,Uber driver,0,,,,
1A_003,19,female,native (learned from birth),1,memory,Emily,she/her,dog,uber,pet,dog,1,,,,
1A_003,19,female,native (learned from birth),1,memory,Emily,she/her,dog,uber,pronoun,she/her,1,,,,
1A_003,19,female,native (learned from birth),1,production,Emily,she/her,dog,uber,,,,She disinfected her car.,she/her,1,
1A_003,19,female,native (learned from birth),1,memory,Amanda,she/her,cat,engineer,job,engineer,1,,,,
1A_003,19,female,native (learned from birth),1,memory,Amanda,she/her,cat,engineer,pet,cat,1,,,,
1A_003,19,female,native (learned from birth),1,memory,Amanda,she/her,cat,engineer,pronoun,she/her,1,,,,
1A_003,19,female,native (learned from birth),1,production,Amanda,she/her,cat,engineer,,,,She took some time to play with her pet.,she/her,1,
1A_003,19,female,native (learned from birth),1,introduction,Amanda,she/her,cat,engineer,,,,,,,This is Amanda! She is an engineer.
1A_003,19,female,native (learned from birth),1,memory,Michael,they/them,fish,sales,job,food service,0,,,,
1A_003,19,female,native (learned from birth),1,memory,Michael,they/them,fish,sales,pet,fish,1,,,,
1A_003,19,female,native (learned from birth),1,memory,Michael,they/them,fish,sales,pronoun,they/them,1,,,,
1A_003,19,female,native (learned from birth),1,production,Michael,they/them,fish,sales,,,,he changed into less dressy clothing.,he/him,0,
1A_003,19,female,native (learned from birth),1,memory,James,he/him,dog,janitor,job,janitor,1,,,,
1A_003,19,female,native (learned from birth),1,memory,James,he/him,dog,janitor,pet,dog,1,,,,
1A_003,19,female,native (learned from birth),1,memory,James,he/him,dog,janitor,pronoun,he/him,1,,,,
1A_003,19,female,native (learned from birth),1,production,James,he/him,dog,janitor,,,,He watched TV in the living room until he was ready to eat dinner.,he/him,1,
1A_003,19,female,native (learned from birth),1,memory,Jessica,she/her,fish,food service,job,nurse,0,,,,
1A_003,19,female,native (learned from birth),1,memory,Jessica,she/her,fish,food service,pet,cat,0,,,,
1A_003,19,female,native (learned from birth),1,memory,Jessica,she/her,fish,food service,pronoun,she/her,1,,,,
1A_003,19,female,native (learned from birth),1,production,Jessica,she/her,fish,food service,,,,She took a long shower to help rid herself of the fragrant smell of food that was on her as a result of her work environment.,she/her,1,
1A_004,19,female,native (learned from birth),3,memory,Brian,they/them,dog,mechanic,job,nurse,0,,,,
1A_004,19,female,native (learned from birth),3,memory,Brian,they/them,dog,mechanic,pet,dog,1,,,,
1A_004,19,female,native (learned from birth),3,memory,Brian,they/them,dog,mechanic,pronoun,they/them,1,,,,
1A_004,19,female,native (learned from birth),3,production,Brian,they/them,dog,mechanic,,,,he made a pizza. ,he/him,0,
1A_004,19,female,native (learned from birth),3,introduction,Brian,they/them,dog,mechanic,,,,,,,This is Brian he like animals. 
1A_004,19,female,native (learned from birth),3,memory,Kevin,he/him,fish,doctor,job,doctor,1,,,,
1A_004,19,female,native (learned from birth),3,memory,Kevin,he/him,fish,doctor,pet,dog,0,,,,
1A_004,19,female,native (learned from birth),3,memory,Kevin,he/him,fish,doctor,pronoun,he/him,1,,,,
1A_004,19,female,native (learned from birth),3,production,Kevin,he/him,fish,doctor,,,,he went on a run. ,he/him,1,
1A_004,19,female,native (learned from birth),3,introduction,Kevin,he/him,fish,doctor,,,,,,,Allow me to introduce you to  Dr. Kevin. 
1A_004,19,female,native (learned from birth),3,memory,Daniel,he/him,cat,IT,job,IT,1,,,,
1A_004,19,female,native (learned from birth),3,memory,Daniel,he/him,cat,IT,pet,cat,1,,,,
1A_004,19,female,native (learned from birth),3,memory,Daniel,he/him,cat,IT,pronoun,he/him,1,,,,
1A_004,19,female,native (learned from birth),3,production,Daniel,he/him,cat,IT,,,,he played video games. ,he/him,1,
1A_004,19,female,native (learned from birth),3,memory,Laura,she/her,cat,accountant,job,retail,0,,,,
1A_004,19,female,native (learned from birth),3,memory,Laura,she/her,cat,accountant,pet,fish,0,,,,
1A_004,19,female,native (learned from birth),3,memory,Laura,she/her,cat,accountant,pronoun,she/her,1,,,,
1A_004,19,female,native (learned from birth),3,production,Laura,she/her,cat,accountant,,,,they made cookies. ,they/them,0,
1A_004,19,female,native (learned from birth),3,memory,Melissa,she/her,dog,retail,job,engineer,0,,,,
1A_004,19,female,native (learned from birth),3,memory,Melissa,she/her,dog,retail,pet,cat,0,,,,
1A_004,19,female,native (learned from birth),3,memory,Melissa,she/her,dog,retail,pronoun,they/them,0,,,,
1A_004,19,female,native (learned from birth),3,production,Melissa,she/her,dog,retail,,,,she took a bath. ,she/her,1,
1A_004,19,female,native (learned from birth),3,memory,Stephanie,she/her,fish,janitor,job,janitor,1,,,,
1A_004,19,female,native (learned from birth),3,memory,Stephanie,she/her,fish,janitor,pet,fish,1,,,,
1A_004,19,female,native (learned from birth),3,memory,Stephanie,she/her,fish,janitor,pronoun,she/her,1,,,,
1A_004,19,female,native (learned from birth),3,production,Stephanie,she/her,fish,janitor,,,,she watched TV.,she/her,1,
1A_004,19,female,native (learned from birth),3,introduction,Stephanie,she/her,fish,janitor,,,,,,,This is Stephanie she is a janitor and has a fish. 
1A_004,19,female,native (learned from birth),3,memory,Andrew,they/them,cat,food service,job,mechanic,0,,,,
1A_004,19,female,native (learned from birth),3,memory,Andrew,they/them,cat,food service,pet,dog,0,,,,
1A_004,19,female,native (learned from birth),3,memory,Andrew,they/them,cat,food service,pronoun,he/him,0,,,,
1A_004,19,female,native (learned from birth),3,production,Andrew,they/them,cat,food service,,,,he made dessert.,he/him,0,
1A_004,19,female,native (learned from birth),3,memory,Emily,they/them,fish,uber,job,food service,0,,,,
1A_004,19,female,native (learned from birth),3,memory,Emily,they/them,fish,uber,pet,cat,0,,,,
1A_004,19,female,native (learned from birth),3,memory,Emily,they/them,fish,uber,pronoun,they/them,1,,,,
1A_004,19,female,native (learned from birth),3,production,Emily,they/them,fish,uber,,,,she went to sleep,she/her,0,
1A_004,19,female,native (learned from birth),3,memory,Amanda,they/them,dog,engineer,job,Uber driver,0,,,,
1A_004,19,female,native (learned from birth),3,memory,Amanda,they/them,dog,engineer,pet,fish,0,,,,
1A_004,19,female,native (learned from birth),3,memory,Amanda,they/them,dog,engineer,pronoun,they/them,1,,,,
1A_004,19,female,native (learned from birth),3,production,Amanda,they/them,dog,engineer,,,,they read a book. ,they/them,1,
1A_004,19,female,native (learned from birth),3,memory,Michael,he/him,cat,sales,job,sales,1,,,,
1A_004,19,female,native (learned from birth),3,memory,Michael,he/him,cat,sales,pet,dog,0,,,,
1A_004,19,female,native (learned from birth),3,memory,Michael,he/him,cat,sales,pronoun,he/him,1,,,,
1A_004,19,female,native (learned from birth),3,production,Michael,he/him,cat,sales,,,,he watched anime. ,he/him,1,
1A_004,19,female,native (learned from birth),3,memory,James,he/him,dog,nurse,job,accountant,0,,,,
1A_004,19,female,native (learned from birth),3,memory,James,he/him,dog,nurse,pet,dog,1,,,,
1A_004,19,female,native (learned from birth),3,memory,James,he/him,dog,nurse,pronoun,he/him,1,,,,
1A_004,19,female,native (learned from birth),3,production,James,he/him,dog,nurse,,,,he played with his dog. ,he/him,1,
1A_004,19,female,native (learned from birth),3,memory,Jessica,she/her,fish,teacher,job,teacher,1,,,,
