ParticipantID,TrialType,TrialID,Pronoun_Pair,T_Pronoun,C_Pronoun,Match_Num,Match_Start,Match_End,Match_RT,IsOutlier
4_002,CR,L02_CR35_S29,HeShe|SheHe,she/her,he/him,1,2137873.726,2139316,1442.274376,FALSE
4_002,CR,L02_CR20_S50,HeShe|They,he/him,they/them,1,2148770.866,2151565,2794.133787,FALSE
4_002,CR,L02_CR88_S52,They|HeShe,they/them,she/her,1,2161069.283,2163626,2556.716553,FALSE
4_002,CR,L02_CR63_S25,HeShe|They,she/her,they/them,1,2174599.875,2175911,1311.124717,FALSE
4_002,CR,L02_CR23_S02,HeShe|They,he/him,they/them,1,2186594.399,2188185,1590.600907,FALSE
4_002,CR,L02_CR32_S15,HeShe|They,he/him,they/them,1,2198955.9,2200171,1215.099773,FALSE
4_002,CR,L02_CR79_S14,They|HeShe,they/them,he/him,1,2210127.995,2211463,1335.004535,FALSE
4_002,CR,L02_CR26_S41,HeShe|They,he/him,they/them,1,2221910.535,2224905,2994.464853,FALSE
4_002,CR,L02_CR51_S60,HeShe|They,she/her,they/them,1,2235755.986,2237195,1439.013605,FALSE
4_002,FP,L02_FP03_S29,HeShe|SheHe,she/her,he/him,1,2248571.726,2250635,2063.274376,FALSE
4_002,CR,L02_CR19_S47,HeShe|They,he/him,they/them,1,2260242.306,2262318,2075.693878,FALSE
4_002,CR,L02_CR44_S34,HeShe|SheHe,she/her,he/him,1,2273354.88,2274581,1226.120181,FALSE
4_002,CR,L02_CR53_S16,HeShe|They,she/her,they/them,1,2284542.576,2287356,2813.424036,FALSE
4_002,CR,L02_CR83_S59,They|HeShe,they/them,she/her,1,2297783.644,2299090,1306.356009,FALSE
4_002,FP,L02_FP07_S22,They|HeShe,they/them,she/her,1,2309991.385,2311311,1319.614512,FALSE
4_002,CR,L02_CR02_S26,HeShe|SheHe,he/him,she/her,1,2322235.696,2323574,1338.303855,FALSE
4_002,CR,L02_CR07_S32,HeShe|SheHe,he/him,she/her,1,2333579.946,2334788,1208.054422,FALSE
4_002,CR,L02_CR30_S11,HeShe|They,he/him,they/them,1,2344866.476,2349657,4790.52381,FALSE
4_002,CR,L02_CR58_S54,HeShe|They,she/her,they/them,1,2359875.766,2361137,1261.23356,FALSE
4_002,CR,L02_CR66_S48,They|HeShe,they/them,he/him,1,2371053.27,2372565,1511.730159,FALSE
4_002,CR,L02_CR12_S09,HeShe|SheHe,he/him,she/her,1,2382850.646,2384113,1262.353741,FALSE
4_002,FD,L02_FD01_S47,HeShe|They,he/him,they/them,0,2393920.306,2394814,893.693878,FALSE
4_003,PR,L03_PR02_S19,HeShe|They,he/him,they/them,0,676152.7846,698287,22134.21542,FALSE
4_003,PR,L03_PR01_S41,HeShe|SheHe,he/him,she/her,1,708875.5351,717695,8819.464853,FALSE
4_003,PR,L03_PR05_S11,They|HeShe,they/them,he/him,1,727994.4762,733374,5379.52381,FALSE
4_003,PR,L03_PR03_S54,HeShe|SheHe,she/her,he/him,1,743383.7664,747179,3795.23356,FALSE
4_003,PR,L03_PR06_S34,They|HeShe,they/them,she/her,0,758315.8798,762611,4295.120181,FALSE
