Participant,Age,English,Gender,Condition,List,PSA,Biography,Name,Job,Pet,Pronoun,M_Type,M_Response,M_Acc,P_Text,P_Response,P_Acc
2_004,36,"native (learned from birth)",male,neither,neither_1,0,0,James,janitor,dog,he/him,pronoun,he/him,1,he watched tv. ,he/him,1
2_004,36,"native (learned from birth)",male,neither,neither_1,0,0,Kevin,doctor,dog,they/them,job,engineer,0,NA,NA,NA
2_004,36,"native (learned from birth)",male,neither,neither_1,0,0,Kevin,doctor,dog,they/them,pet,cat,0,NA,NA,NA
2_004,36,"native (learned from birth)",male,neither,neither_1,0,0,Kevin,doctor,dog,they/them,pronoun,he/him,0,he played with his kids. ,he/him,0
2_004,36,"native (learned from birth)",male,neither,neither_1,0,0,Brian,accountant,fish,he/him,job,sales,0,NA,NA,NA
2_004,36,"native (learned from birth)",male,neither,neither_1,0,0,Brian,accountant,fish,he/him,pet,fish,1,NA,NA,NA
2_004,36,"native (learned from birth)",male,neither,neither_1,0,0,Brian,accountant,fish,he/him,pronoun,he/him,1,he went to work out. ,he/him,1
2_004,36,"native (learned from birth)",male,neither,neither_1,0,0,Laura,mechanic,cat,she/her,pet,dog,0,NA,NA,NA
2_005,34,"native (learned from birth)",male,neither,neither_3,0,0,Melissa,retail,dog,she/her,job,retail,1,NA,NA,NA
2_005,34,"native (learned from birth)",male,neither,neither_3,0,0,Melissa,retail,dog,she/her,pronoun,they/them,0,She spent time with her cat.,she/her,1
2_005,34,"native (learned from birth)",male,neither,neither_3,0,0,Laura,accountant,cat,she/her,job,Uber driver,0,NA,NA,NA
2_005,34,"native (learned from birth)",male,neither,neither_3,0,0,Laura,accountant,cat,she/her,pet,cat,1,NA,NA,NA
2_005,34,"native (learned from birth)",male,neither,neither_3,0,0,Melissa,retail,dog,she/her,pet,dog,1,NA,NA,NA
2_005,34,"native (learned from birth)",male,neither,neither_3,0,0,Brian,mechanic,dog,they/them,job,janitor,0,NA,NA,NA
2_005,34,"native (learned from birth)",male,neither,neither_3,0,0,Brian,mechanic,dog,they/them,pet,dog,1,NA,NA,NA
2_005,34,"native (learned from birth)",male,neither,neither_3,0,0,Brian,mechanic,dog,they/them,pronoun,they/them,1,he made dinner and fed his dog.,he/him,0
2_005,34,"native (learned from birth)",male,neither,neither_3,0,0,Michael,salesperson,cat,he/him,job,mechanic,0,NA,NA,NA
2_005,34,"native (learned from birth)",male,neither,neither_3,0,0,Michael,salesperson,cat,he/him,pet,fish,0,NA,NA,NA
2_005,34,"native (learned from birth)",male,neither,neither_3,0,0,Michael,salesperson,cat,he/him,pronoun,they/them,0,They took a long shower.,they/them,0
2_005,34,"native (learned from birth)",male,neither,neither_3,0,0,Emily,Uber driver,fish,they/them,job,teacher,0,NA,NA,NA
2_005,34,"native (learned from birth)",male,neither,neither_3,0,0,Emily,Uber driver,fish,they/them,pet,dog,0,NA,NA,NA
2_005,34,"native (learned from birth)",male,neither,neither_3,0,0,Emily,Uber driver,fish,they/them,pronoun,she/her,0,They brought their car in for maintenance.,they/them,1
2_005,34,"native (learned from birth)",male,neither,neither_3,0,0,Stephanie,janitor,fish,she/her,job,nurse,0,NA,NA,NA
2_005,34,"native (learned from birth)",male,neither,neither_3,0,0,Stephanie,janitor,fish,she/her,pet,cat,0,NA,NA,NA
2_005,34,"native (learned from birth)",male,neither,neither_3,0,0,Stephanie,janitor,fish,she/her,pronoun,she/her,1,She took a bath and fed her fish.,she/her,1
2_005,34,"native (learned from birth)",male,neither,neither_3,0,0,Laura,accountant,cat,she/her,pronoun,she/her,1,She read a book and played with her cat.,she/her,1
2_005,34,"native (learned from birth)",male,neither,neither_3,0,0,Daniel,IT,cat,he/him,pet,dog,0,NA,NA,NA
2_005,34,"native (learned from birth)",male,neither,neither_3,0,0,Daniel,IT,cat,he/him,pronoun,he/him,1,He studied for his exam.,he/him,1
2_005,34,"native (learned from birth)",male,neither,neither_3,0,0,Amanda,engineer,dog,they/them,job,food service,0,NA,NA,NA
2_005,34,"native (learned from birth)",male,neither,neither_3,0,0,Amanda,engineer,dog,they/them,pet,cat,0,NA,NA,NA
2_005,34,"native (learned from birth)",male,neither,neither_3,0,0,Amanda,engineer,dog,they/them,pronoun,she/her,0,They went to a concert.,they/them,1
2_005,34,"native (learned from birth)",male,neither,neither_3,0,0,James,nurse,dog,he/him,job,nurse,1,NA,NA,NA
2_005,34,"native (learned from birth)",male,neither,neither_3,0,0,James,nurse,dog,he/him,pet,dog,1,NA,NA,NA
2_005,34,"native (learned from birth)",male,neither,neither_3,0,0,James,nurse,dog,he/him,pronoun,he/him,1,he went to sleep.,he/him,1
2_005,34,"native (learned from birth)",male,neither,neither_3,0,0,Jessica,teacher,fish,she/her,job,teacher,1,NA,NA,NA
2_005,34,"native (learned from birth)",male,neither,neither_3,0,0,Jessica,teacher,fish,she/her,pet,fish,1,NA,NA,NA
2_005,34,"native (learned from birth)",male,neither,neither_3,0,0,Jessica,teacher,fish,she/her,pronoun,they/them,0,She prepared for the next school day.,she/her,1
2_005,34,"native (learned from birth)",male,neither,neither_3,0,0,Andrew,food service,cat,they/them,job,engineer,0,NA,NA,NA
2_005,34,"native (learned from birth)",male,neither,neither_3,0,0,Andrew,food service,cat,they/them,pet,dog,0,NA,NA,NA
2_005,34,"native (learned from birth)",male,neither,neither_3,0,0,Andrew,food service,cat,they/them,pronoun,he/him,0,He played video games.,he/him,0
2_005,34,"native (learned from birth)",male,neither,neither_3,0,0,Kevin,doctor,fish,he/him,job,IT,0,NA,NA,NA
2_005,34,"native (learned from birth)",male,neither,neither_3,0,0,Kevin,doctor,fish,he/him,pet,cat,0,NA,NA,NA
2_005,34,"native (learned from birth)",male,neither,neither_3,0,0,Kevin,doctor,fish,he/him,pronoun,they/them,0,They walked their dog.,they/them,0
2_005,34,"native (learned from birth)",male,neither,neither_3,0,0,Daniel,IT,cat,he/him,job,IT,1,NA,NA,NA
2_006,30,"native (learned from birth)",female,psa,psa_1,1,0,Daniel,retail,cat,he/him,job,sales,0,NA,NA,NA
2_006,30,"native (learned from birth)",female,psa,psa_1,1,0,Daniel,retail,cat,he/him,pet,cat,1,NA,NA,NA
2_006,30,"native (learned from birth)",female,psa,psa_1,1,0,Amanda,engineer,cat,she/her,job,mechanic,0,NA,NA,NA
2_006,30,"native (learned from birth)",female,psa,psa_1,1,0,Amanda,engineer,cat,she/her,pet,dog,0,NA,NA,NA
2_006,30,"native (learned from birth)",female,psa,psa_1,1,0,Amanda,engineer,cat,she/her,pronoun,she/her,1,she made dinner for the family.,she/her,1
2_006,30,"native (learned from birth)",female,psa,psa_1,1,0,Daniel,retail,cat,he/him,pronoun,he/him,1,he listened some music.,he/him,1
2_006,30,"native (learned from birth)",female,psa,psa_1,1,0,Stephanie,nurse,cat,they/them,pet,cat,1,NA,NA,NA
2_006,30,"native (learned from birth)",female,psa,psa_1,1,0,Stephanie,nurse,cat,they/them,pronoun,she/her,0,she had a bath.,she/her,0
2_006,30,"native (learned from birth)",female,psa,psa_1,1,0,Andrew,teacher,dog,he/him,job,Uber driver,0,NA,NA,NA
2_006,30,"native (learned from birth)",female,psa,psa_1,1,0,Stephanie,nurse,cat,they/them,job,IT,0,NA,NA,NA
2_006,30,"native (learned from birth)",female,psa,psa_1,1,0,Andrew,teacher,dog,he/him,pronoun,he/him,1,he took classes for his neighboring children.,he/him,1
2_006,30,"native (learned from birth)",female,psa,psa_1,1,0,Jessica,food service,fish,she/her,job,nurse,0,NA,NA,NA
2_006,30,"native (learned from birth)",female,psa,psa_1,1,0,Jessica,food service,fish,she/her,pet,cat,0,NA,NA,NA
2_006,30,"native (learned from birth)",female,psa,psa_1,1,0,Jessica,food service,fish,she/her,pronoun,she/her,1,she took her medication.,she/her,1
2_006,30,"native (learned from birth)",female,psa,psa_1,1,0,Michael,salesperson,fish,they/them,job,food service,0,NA,NA,NA
2_006,30,"native (learned from birth)",female,psa,psa_1,1,0,Michael,salesperson,fish,they/them,pet,dog,0,NA,NA,NA
2_006,30,"native (learned from birth)",female,psa,psa_1,1,0,Michael,salesperson,fish,they/them,pronoun,he/him,0,he did his usual exercise.,he/him,0
2_006,30,"native (learned from birth)",female,psa,psa_1,1,0,Emily,Uber driver,dog,she/her,job,janitor,0,NA,NA,NA
2_006,30,"native (learned from birth)",female,psa,psa_1,1,0,Emily,Uber driver,dog,she/her,pet,dog,1,NA,NA,NA
